day,month,year,dense_forest,open_forest,sparse_forest,forest,total
13,09,2015,14149200.0,16800.0,33600.0,14199600.0,17582400.0
01,01,2016,13848400.0,0.0,8400.0,13856800.0,17582400.0
11,01,2016,14040400.0,0.0,400.0,14040800.0,17582400.0
21,01,2016,13860000.0,0.0,2400.0,13862400.0,17582400.0
10,02,2016,14904400.0,400.0,1600.0,14906400.0,17582400.0
10,04,2016,14084400.0,2800.0,15200.0,14102400.0,17581600.0
20,04,2016,14137200.0,8000.0,36800.0,14182000.0,17569600.0
20,05,2016,14024800.0,29600.0,84800.0,14139200.0,17453600.0
30,05,2016,14051200.0,15200.0,116800.0,14183200.0,17395200.0
29,06,2016,14360400.0,61600.0,60800.0,14482800.0,17280800.0
29,07,2016,14029200.0,45200.0,79600.0,14154000.0,17469200.0
18,08,2016,13973200.0,10000.0,48400.0,14031600.0,17556800.0
17,09,2016,14171600.0,1200.0,15600.0,14188400.0,17582400.0
27,09,2016,14332000.0,2000.0,11600.0,14345600.0,17582400.0
06,11,2016,15120800.0,400.0,400.0,15121600.0,17582400.0
16,11,2016,15410400.0,0.0,400.0,15410800.0,17582400.0
26,11,2016,15006800.0,0.0,800.0,15007600.0,17582400.0
24,02,2017,12903600.0,1200.0,8000.0,12912800.0,17582400.0
06,03,2017,13481200.0,1200.0,4400.0,13486800.0,17582400.0
26,03,2017,13986400.0,3600.0,7600.0,13997600.0,17582400.0
04,06,2017,12599600.0,122400.0,144000.0,12866000.0,17358400.0
14,06,2017,12811200.0,52000.0,74400.0,12937600.0,17306400.0
24,06,2017,12299600.0,22000.0,298000.0,12619600.0,17229200.0
04,07,2017,12334000.0,8000.0,330000.0,12672000.0,17309200.0
24,07,2017,11844800.0,30800.0,637200.0,12512800.0,17438800.0
29,07,2017,11699200.0,26400.0,96000.0,11821600.0,17465600.0
08,08,2017,13058000.0,2800.0,21600.0,13082400.0,17515200.0
13,08,2017,12098000.0,12400.0,174400.0,12284800.0,17537200.0
23,08,2017,12226800.0,10400.0,48400.0,12285600.0,17566400.0
28,08,2017,12440400.0,2000.0,21600.0,12464000.0,17577600.0
02,09,2017,12003200.0,400.0,59600.0,12063200.0,17582400.0
12,09,2017,11455200.0,800.0,28000.0,11484000.0,17582400.0
17,09,2017,11942400.0,0.0,12000.0,11954400.0,17582400.0
22,09,2017,10250800.0,0.0,9200.0,10260000.0,17582400.0
27,09,2017,11505600.0,400.0,13200.0,11519200.0,17582400.0
02,10,2017,11526400.0,400.0,13600.0,11540400.0,17582400.0
07,10,2017,11473600.0,800.0,6800.0,11481200.0,17582400.0
12,10,2017,12158400.0,0.0,5600.0,12164000.0,17582400.0
17,10,2017,11851600.0,0.0,4400.0,11856000.0,17582400.0
01,11,2017,12411200.0,400.0,2400.0,12414000.0,17582400.0
11,12,2017,12330000.0,0.0,1600.0,12331600.0,17582400.0
05,01,2018,12328000.0,400.0,1200.0,12329600.0,17582400.0
20,01,2018,11733600.0,400.0,1600.0,11735600.0,17582400.0
25,01,2018,12005600.0,400.0,1200.0,12007200.0,17582400.0
30,01,2018,11670400.0,0.0,800.0,11671200.0,17582400.0
04,02,2018,11809600.0,5600.0,8000.0,11823200.0,17582400.0
09,02,2018,10756400.0,400.0,1200.0,10758000.0,17554400.0
14,02,2018,11611600.0,0.0,4000.0,11615600.0,17582400.0
01,03,2018,11561200.0,0.0,10400.0,11571600.0,17582400.0
11,03,2018,11672800.0,3200.0,8000.0,11684000.0,17582400.0
26,03,2018,12767600.0,0.0,8000.0,12775600.0,17582400.0
05,04,2018,11855600.0,2400.0,14400.0,11872400.0,17582400.0
20,04,2018,11768800.0,16000.0,42400.0,11827200.0,17568000.0
05,05,2018,12396400.0,0.0,32800.0,12429200.0,17522800.0
10,05,2018,11659600.0,6000.0,52400.0,11718000.0,17502800.0
15,05,2018,10394400.0,0.0,43600.0,10438000.0,17482800.0
20,05,2018,11638400.0,29200.0,143200.0,11810800.0,17450800.0
25,05,2018,10781600.0,41200.0,357600.0,11180400.0,17414000.0
24,06,2018,11711600.0,8400.0,726800.0,12446800.0,17234000.0
04,07,2018,11863600.0,800.0,890800.0,12755200.0,17306000.0
09,07,2018,11449600.0,23200.0,937200.0,12410000.0,17316000.0
14,07,2018,11269600.0,6000.0,931200.0,12206800.0,17352800.0
19,07,2018,10841200.0,3200.0,1346000.0,12190400.0,17401600.0
24,07,2018,11103600.0,0.0,1176000.0,12279600.0,17426400.0
03,08,2018,10928800.0,400.0,795600.0,11724800.0,17484000.0
13,08,2018,11020400.0,22400.0,347600.0,11390400.0,17536000.0
28,08,2018,10779600.0,10800.0,413200.0,11203600.0,17575200.0
17,09,2018,10607600.0,400.0,133600.0,10741600.0,17582400.0
27,09,2018,10174000.0,0.0,53600.0,10227600.0,17582400.0
02,10,2018,10168400.0,0.0,28800.0,10197200.0,17582400.0
22,10,2018,10406000.0,0.0,16000.0,10422000.0,17582400.0
27,10,2018,10498800.0,0.0,10400.0,10509200.0,17582400.0
01,11,2018,9950000.0,0.0,6400.0,9956400.0,17582400.0
11,11,2018,10581600.0,0.0,5200.0,10586800.0,17582400.0
11,11,2018,10484800.0,0.0,6400.0,10491200.0,17582400.0
01,12,2018,11267600.0,400.0,1200.0,11269200.0,17582400.0
01,12,2018,11001600.0,400.0,2400.0,11004400.0,17582400.0
26,12,2018,11748400.0,400.0,4000.0,11752800.0,17582400.0
26,12,2018,11550800.0,400.0,6000.0,11557200.0,17582400.0
